epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,4928.42,1.32328,2.07736,1.60437,1.62481,0,0.63152,0.59222,0.61775,0.40638,0.64024,0.57755,0.59927,0.37437,1.35986,1.65819,1.54548,1.67115,0,0.000703,0.000703,0.000703
62,5009.51,1.30552,2.08145,1.58579,1.59952,0,0.72327,0.57912,0.61406,0.40921,0.74443,0.54665,0.6029,0.37363,1.28418,1.67183,1.5627,1.59169,0,0.00069805,0.00069805,0.00069805
63,5089.99,1.29417,2.05481,1.56474,1.59641,0,0.78287,0.57451,0.64072,0.41872,0.7918,0.57506,0.62199,0.39288,1.31029,1.6209,1.53932,1.63367,0,0.0006931,0.0006931,0.0006931
64,5171.36,1.31199,2.07784,1.58068,1.60656,0,0.60347,0.60693,0.61607,0.40064,0.66203,0.58377,0.61164,0.37558,1.36698,1.63659,1.52444,1.62928,0,0.00068815,0.00068815,0.00068815
65,5251.57,1.29573,2.05417,1.55049,1.58195,0,0.72736,0.58651,0.63728,0.41401,0.7195,0.56902,0.62503,0.39375,1.33344,1.63197,1.51982,1.62066,0,0.0006832,0.0006832,0.0006832
66,5331.08,1.29674,2.06132,1.55287,1.59241,0,0.64851,0.63223,0.63943,0.41235,0.63137,0.61741,0.61771,0.38116,1.30859,1.66414,1.52687,1.6258,0,0.00067825,0.00067825,0.00067825
67,5410.93,1.28024,2.0263,1.53456,1.59106,0,0.66206,0.61843,0.64219,0.41988,0.63331,0.60802,0.62892,0.39489,1.29434,1.59164,1.50204,1.60127,0,0.0006733,0.0006733,0.0006733
68,5491.21,1.28752,2.02739,1.54001,1.57662,0,0.62878,0.62456,0.61089,0.4175,0.61076,0.61897,0.60866,0.38069,1.29177,1.65194,1.57318,1.58576,0,0.00066835,0.00066835,0.00066835
69,5571.09,1.28114,2.034,1.5507,1.57929,0,0.70039,0.61109,0.66143,0.42757,0.70138,0.61317,0.65894,0.40573,1.31906,1.64018,1.45264,1.61973,0,0.0006634,0.0006634,0.0006634
70,5651.63,1.2599,2.01155,1.51083,1.57253,0,0.66183,0.5967,0.624,0.41597,0.68156,0.5897,0.62133,0.3912,1.28989,1.56385,1.49187,1.56698,0,0.00065845,0.00065845,0.00065845
